Air Conditioner,Split AC where x = Tonnage & y= Star Rating,,,,,,,,,,,,,
Type,x2y,xy,y,x,Constant,,,,,,,,,
Split AC,41.1,-177.1,92.07,1341.4,20.89,,,,,,,,,
Window AC,-29.045,-7.2987,16.588,1425.5,-15.243,,,,,,,,,
,,,,,,,,,,,,,,
Refrigerator, where x=Star Rating & y= Storage Volume,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Type,x2y,xy,y,x,Constant,,,,,,,,,
Frost Free,-0.0681,0.5341,-0.4721,-88.02,688.75,,,,,,,,,
Direct Cool,-0.0968,0.6628,-0.8069,-52.84,492.35,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ceiling Fan,,,,,,,,,,,,,,
Intent,m,c,,,,,,,,,,,,
Power Conumption,-4.9767,74.478,,,,,,,,,,,,
Price Calculation,271,1326,,,,,,,,,,,,
"Normal Fan, Price (Rs/Watt)",18.72,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Water Heater,,,,,,,,,,,,,,
"x= Star Rating, Y=Volume of Water Tank",,,,,,,,,,,,,,
Energy Consumption,x2y,xy,y,x,Constant,,,,,,,,,
Water Heater,0.4857,-7.0992,32.479,-57.775,761.51,,,,,,,,,
,,,,,,,,,,,,,,
Television,,,,,,,,,,,,,,
Type,m,c,,,,,,,,,,,,
26,24%,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Database for Refrigerator,,,,,,,,,,,,,,
Type,Volume (L),,,,,,,,,,,,,
Direct Cool - (80L - 150L) - 5 Star,99,,,,,,,,,,,,,
Direct Cool - (80L - 150L) - 4 Star,99,,,,,,,,,,,,,
Direct Cool - (80L - 150L) - 3 Star,99,,,,,,,,,,,,,
Direct Cool - (80L - 150L) - 2 Star,99,,,,,,,,,,,,,
Direct Cool - (80L - 150L) - 1 Star,99.00,,,,,,,,,,,,,
Direct Cool - (150L - 200L) - 5 Star,185.00,,,,,,,,,,,,,
Direct Cool - (150L - 200L) - 4 Star,186.77,,,,,,,,,,,,,
Direct Cool - (150L - 200L) - 3 Star,182.60,,,,,,,,,,,,,
Direct Cool - (150L - 200L) - 2 Star,184.79,,,,,,,,,,,,,
Direct Cool - (150L - 200L) - 1 Star,184.79,,,,,,,,,,,,,
Frost Free - (150L - 200L) - 5 Star,197.00,,,,,,,,,,,,,
Frost Free - (150L - 200L) - 4 Star,197.00,,,,,,,,,,,,,
Frost Free - (150L - 200L) - 3 Star,197.00,,,,,,,,,,,,,
Frost Free - (150L - 200L) - 2 Star,197.00,,,,,,,,,,,,,
Frost Free  - (150L - 200L) - 1 Star,197.00,,,,,,,,,,,,,
Direct Cool - (200L - 250L) - 5 Star,230.00,,,,,,,,,,,,,
Direct Cool - (200L - 250L) - 4 Star,219.87,,,,,,,,,,,,,
Direct Cool - (200L - 250L) - 3 Star,229.75,,,,,,,,,,,,,
