,Bangalore-Weight Based-x4,Bangalore-Weight Based-x3,Bangalore-Weight Based-x2,Bangalore-Weight Based-x1,Bangalore-Weight Based-x0,Chennai-Weight Based-x4,Chennai-Weight Based-x3,Chennai-Weight Based-x2,Chennai-Weight Based-x1,Chennai-Weight Based-x0,Kolkata-Weight Based-x4,Kolkata-Weight Based-x3,Kolkata-Weight Based-x2,Kolkata-Weight Based-x1,Kolkata-Weight Based-x0,Mumbai-Weight Based-x4,Mumbai-Weight Based-x3,Mumbai-Weight Based-x2,Mumbai-Weight Based-x1,Mumbai-Weight Based-x0,New Delhi-Weight Based-x4,New Delhi-Weight Based-x3,New Delhi-Weight Based-x2,New Delhi-Weight Based-x1,New Delhi-Weight Based-x0,India-Weight Based-x4,India-Weight Based-x3,India-Weight Based-x2,India-Weight Based-x1,India-Weight Based-x0,World-Weight Based-x4,World-Weight Based-x3,World-Weight Based-x2,World-Weight Based-x1,World-Weight Based-x0,Units-Weight Based-,Bangalore-Volume Based-x4,Bangalore-Volume Based-x3,Bangalore-Volume Based-x2,Bangalore-Volume Based-x1,Bangalore-Volume Based-x0,Chennai-Volume Based-x4,Chennai-Volume Based-x3,Chennai-Volume Based-x2,Chennai-Volume Based-x1,Chennai-Volume Based-x0,Kolkata-Volume Based-x4,Kolkata-Volume Based-x3,Kolkata-Volume Based-x2,Kolkata-Volume Based-x1,Kolkata-Volume Based-x0,Mumbai-Volume Based-x4,Mumbai-Volume Based-x3,Mumbai-Volume Based-x2,Mumbai-Volume Based-x1,Mumbai-Volume Based-x0,New Delhi-Volume Based-x4,New Delhi-Volume Based-x3,New Delhi-Volume Based-x2,New Delhi-Volume Based-x1,New Delhi-Volume Based-x0,India-Volume Based-x4,India-Volume Based-x3,India-Volume Based-x2,India-Volume Based-x1,India-Volume Based-x0,World-Volume Based-x4,World-Volume Based-x3,World-Volume Based-x2,World-Volume Based-x1,World-Volume Based-x0,Units-Volume Based-,Bangalore-Cost Based-x4,Bangalore-Cost Based-x3,Bangalore-Cost Based-x2,Bangalore-Cost Based-x1,Bangalore-Cost Based-x0,Chennai-Cost Based-x4,Chennai-Cost Based-x3,Chennai-Cost Based-x2,Chennai-Cost Based-x1,Chennai-Cost Based-x0,Kolkata-Cost Based-x4,Kolkata-Cost Based-x3,Kolkata-Cost Based-x2,Kolkata-Cost Based-x1,Kolkata-Cost Based-x0,Mumbai-Cost Based-x4,Mumbai-Cost Based-x3,Mumbai-Cost Based-x2,Mumbai-Cost Based-x1,Mumbai-Cost Based-x0,New Delhi-Cost Based-x4,New Delhi-Cost Based-x3,New Delhi-Cost Based-x2,New Delhi-Cost Based-x1,New Delhi-Cost Based-x0,India-Cost Based-x4,India-Cost Based-x3,India-Cost Based-x2,India-Cost Based-x1,India-Cost Based-x0,World-Cost Based-x4,World-Cost Based-x3,World-Cost Based-x2,World-Cost Based-x1,World-Cost Based-x0,Units-Cost Based-,Bangalore-Distance (Vehicle) Based-x4,Bangalore-Distance (Vehicle) Based-x3,Bangalore-Distance (Vehicle) Based-x2,Bangalore-Distance (Vehicle) Based-x1,Bangalore-Distance (Vehicle) Based-x0,Chennai-Distance (Vehicle) Based-x4,Chennai-Distance (Vehicle) Based-x3,Chennai-Distance (Vehicle) Based-x2,Chennai-Distance (Vehicle) Based-x1,Chennai-Distance (Vehicle) Based-x0,Kolkata-Distance (Vehicle) Based-x4,Kolkata-Distance (Vehicle) Based-x3,Kolkata-Distance (Vehicle) Based-x2,Kolkata-Distance (Vehicle) Based-x1,Kolkata-Distance (Vehicle) Based-x0,Mumbai-Distance (Vehicle) Based-x4,Mumbai-Distance (Vehicle) Based-x3,Mumbai-Distance (Vehicle) Based-x2,Mumbai-Distance (Vehicle) Based-x1,Mumbai-Distance (Vehicle) Based-x0,New Delhi-Distance (Vehicle) Based-x4,New Delhi-Distance (Vehicle) Based-x3,New Delhi-Distance (Vehicle) Based-x2,New Delhi-Distance (Vehicle) Based-x1,New Delhi-Distance (Vehicle) Based-x0,India-Distance (Vehicle) Based-x4,India-Distance (Vehicle) Based-x3,India-Distance (Vehicle) Based-x2,India-Distance (Vehicle) Based-x1,India-Distance (Vehicle) Based-x0,World-Distance (Vehicle) Based-x4,World-Distance (Vehicle) Based-x3,World-Distance (Vehicle) Based-x2,World-Distance (Vehicle) Based-x1,World-Distance (Vehicle) Based-x0,Units-Distance (Vehicle) Based-,Bangalore-Distance (Passenger) Based-x4,Bangalore-Distance (Passenger) Based-x3,Bangalore-Distance (Passenger) Based-x2,Bangalore-Distance (Passenger) Based-x1,Bangalore-Distance (Passenger) Based-x0,Chennai-Distance (Passenger) Based-x4,Chennai-Distance (Passenger) Based-x3,Chennai-Distance (Passenger) Based-x2,Chennai-Distance (Passenger) Based-x1,Chennai-Distance (Passenger) Based-x0,Kolkata-Distance (Passenger) Based-x4,Kolkata-Distance (Passenger) Based-x3,Kolkata-Distance (Passenger) Based-x2,Kolkata-Distance (Passenger) Based-x1,Kolkata-Distance (Passenger) Based-x0,Mumbai-Distance (Passenger) Based-x4,Mumbai-Distance (Passenger) Based-x3,Mumbai-Distance (Passenger) Based-x2,Mumbai-Distance (Passenger) Based-x1,Mumbai-Distance (Passenger) Based-x0,New Delhi-Distance (Passenger) Based-x4,New Delhi-Distance (Passenger) Based-x3,New Delhi-Distance (Passenger) Based-x2,New Delhi-Distance (Passenger) Based-x1,New Delhi-Distance (Passenger) Based-x0,India-Distance (Passenger) Based-x4,India-Distance (Passenger) Based-x3,India-Distance (Passenger) Based-x2,India-Distance (Passenger) Based-x1,India-Distance (Passenger) Based-x0,World-Distance (Passenger) Based-x4,World-Distance (Passenger) Based-x3,World-Distance (Passenger) Based-x2,World-Distance (Passenger) Based-x1,World-Distance (Passenger) Based-x0,Units-Distance (Passenger) Based-,Bangalore-Duration (Vehicle) Based-x4,Bangalore-Duration (Vehicle) Based-x3,Bangalore-Duration (Vehicle) Based-x2,Bangalore-Duration (Vehicle) Based-x1,Bangalore-Duration (Vehicle) Based-x0,Chennai-Duration (Vehicle) Based-x4,Chennai-Duration (Vehicle) Based-x3,Chennai-Duration (Vehicle) Based-x2,Chennai-Duration (Vehicle) Based-x1,Chennai-Duration (Vehicle) Based-x0,Kolkata-Duration (Vehicle) Based-x4,Kolkata-Duration (Vehicle) Based-x3,Kolkata-Duration (Vehicle) Based-x2,Kolkata-Duration (Vehicle) Based-x1,Kolkata-Duration (Vehicle) Based-x0,Mumbai-Duration (Vehicle) Based-x4,Mumbai-Duration (Vehicle) Based-x3,Mumbai-Duration (Vehicle) Based-x2,Mumbai-Duration (Vehicle) Based-x1,Mumbai-Duration (Vehicle) Based-x0,New Delhi-Duration (Vehicle) Based-x4,New Delhi-Duration (Vehicle) Based-x3,New Delhi-Duration (Vehicle) Based-x2,New Delhi-Duration (Vehicle) Based-x1,New Delhi-Duration (Vehicle) Based-x0,India-Duration (Vehicle) Based-x4,India-Duration (Vehicle) Based-x3,India-Duration (Vehicle) Based-x2,India-Duration (Vehicle) Based-x1,India-Duration (Vehicle) Based-x0,World-Duration (Vehicle) Based-x4,World-Duration (Vehicle) Based-x3,World-Duration (Vehicle) Based-x2,World-Duration (Vehicle) Based-x1,World-Duration (Vehicle) Based-x0,Units-Duration (Vehicle) Based-,Bangalore-Duration (Passenger) Based-x4,Bangalore-Duration (Passenger) Based-x3,Bangalore-Duration (Passenger) Based-x2,Bangalore-Duration (Passenger) Based-x1,Bangalore-Duration (Passenger) Based-x0,Chennai-Duration (Passenger) Based-x4,Chennai-Duration (Passenger) Based-x3,Chennai-Duration (Passenger) Based-x2,Chennai-Duration (Passenger) Based-x1,Chennai-Duration (Passenger) Based-x0,Kolkata-Duration (Passenger) Based-x4,Kolkata-Duration (Passenger) Based-x3,Kolkata-Duration (Passenger) Based-x2,Kolkata-Duration (Passenger) Based-x1,Kolkata-Duration (Passenger) Based-x0,Mumbai-Duration (Passenger) Based-x4,Mumbai-Duration (Passenger) Based-x3,Mumbai-Duration (Passenger) Based-x2,Mumbai-Duration (Passenger) Based-x1,Mumbai-Duration (Passenger) Based-x0,New Delhi-Duration (Passenger) Based-x4,New Delhi-Duration (Passenger) Based-x3,New Delhi-Duration (Passenger) Based-x2,New Delhi-Duration (Passenger) Based-x1,New Delhi-Duration (Passenger) Based-x0,India-Duration (Passenger) Based-x4,India-Duration (Passenger) Based-x3,India-Duration (Passenger) Based-x2,India-Duration (Passenger) Based-x1,India-Duration (Passenger) Based-x0,World-Duration (Passenger) Based-x4,World-Duration (Passenger) Based-x3,World-Duration (Passenger) Based-x2,World-Duration (Passenger) Based-x1,World-Duration (Passenger) Based-x0,Units-Duration (Passenger) Based-,Bangalore-Energy (kWh) Based-x4,Bangalore-Energy (kWh) Based-x3,Bangalore-Energy (kWh) Based-x2,Bangalore-Energy (kWh) Based-x1,Bangalore-Energy (kWh) Based-x0,Chennai-Energy (kWh) Based-x4,Chennai-Energy (kWh) Based-x3,Chennai-Energy (kWh) Based-x2,Chennai-Energy (kWh) Based-x1,Chennai-Energy (kWh) Based-x0,Kolkata-Energy (kWh) Based-x4,Kolkata-Energy (kWh) Based-x3,Kolkata-Energy (kWh) Based-x2,Kolkata-Energy (kWh) Based-x1,Kolkata-Energy (kWh) Based-x0,Mumbai-Energy (kWh) Based-x4,Mumbai-Energy (kWh) Based-x3,Mumbai-Energy (kWh) Based-x2,Mumbai-Energy (kWh) Based-x1,Mumbai-Energy (kWh) Based-x0,New Delhi-Energy (kWh) Based-x4,New Delhi-Energy (kWh) Based-x3,New Delhi-Energy (kWh) Based-x2,New Delhi-Energy (kWh) Based-x1,New Delhi-Energy (kWh) Based-x0,India-Energy (kWh) Based-x4,India-Energy (kWh) Based-x3,India-Energy (kWh) Based-x2,India-Energy (kWh) Based-x1,India-Energy (kWh) Based-x0,World-Energy (kWh) Based-x4,World-Energy (kWh) Based-x3,World-Energy (kWh) Based-x2,World-Energy (kWh) Based-x1,World-Energy (kWh) Based-x0,Units-Energy (kWh) Based-,Bangalore-Energy (TJ) Based-x4,Bangalore-Energy (TJ) Based-x3,Bangalore-Energy (TJ) Based-x2,Bangalore-Energy (TJ) Based-x1,Bangalore-Energy (TJ) Based-x0,Chennai-Energy (TJ) Based-x4,Chennai-Energy (TJ) Based-x3,Chennai-Energy (TJ) Based-x2,Chennai-Energy (TJ) Based-x1,Chennai-Energy (TJ) Based-x0,Kolkata-Energy (TJ) Based-x4,Kolkata-Energy (TJ) Based-x3,Kolkata-Energy (TJ) Based-x2,Kolkata-Energy (TJ) Based-x1,Kolkata-Energy (TJ) Based-x0,Mumbai-Energy (TJ) Based-x4,Mumbai-Energy (TJ) Based-x3,Mumbai-Energy (TJ) Based-x2,Mumbai-Energy (TJ) Based-x1,Mumbai-Energy (TJ) Based-x0,New Delhi-Energy (TJ) Based-x4,New Delhi-Energy (TJ) Based-x3,New Delhi-Energy (TJ) Based-x2,New Delhi-Energy (TJ) Based-x1,New Delhi-Energy (TJ) Based-x0,India-Energy (TJ) Based-x4,India-Energy (TJ) Based-x3,India-Energy (TJ) Based-x2,India-Energy (TJ) Based-x1,India-Energy (TJ) Based-x0,World-Energy (TJ) Based-x4,World-Energy (TJ) Based-x3,World-Energy (TJ) Based-x2,World-Energy (TJ) Based-x1,World-Energy (TJ) Based-x0,Units-Energy (TJ) Based-,Bangalore-Area Based-x4,Bangalore-Area Based-x3,Bangalore-Area Based-x2,Bangalore-Area Based-x1,Bangalore-Area Based-x0,Chennai-Area Based-x4,Chennai-Area Based-x3,Chennai-Area Based-x2,Chennai-Area Based-x1,Chennai-Area Based-x0,Kolkata-Area Based-x4,Kolkata-Area Based-x3,Kolkata-Area Based-x2,Kolkata-Area Based-x1,Kolkata-Area Based-x0,Mumbai-Area Based-x4,Mumbai-Area Based-x3,Mumbai-Area Based-x2,Mumbai-Area Based-x1,Mumbai-Area Based-x0,New Delhi-Area Based-x4,New Delhi-Area Based-x3,New Delhi-Area Based-x2,New Delhi-Area Based-x1,New Delhi-Area Based-x0,India-Area Based-x4,India-Area Based-x3,India-Area Based-x2,India-Area Based-x1,India-Area Based-x0,World-Area Based-x4,World-Area Based-x3,World-Area Based-x2,World-Area Based-x1,World-Area Based-x0,Units-Area Based-,Bangalore-Journey Based-x4,Bangalore-Journey Based-x3,Bangalore-Journey Based-x2,Bangalore-Journey Based-x1,Bangalore-Journey Based-x0,Chennai-Journey Based-x4,Chennai-Journey Based-x3,Chennai-Journey Based-x2,Chennai-Journey Based-x1,Chennai-Journey Based-x0,Kolkata-Journey Based-x4,Kolkata-Journey Based-x3,Kolkata-Journey Based-x2,Kolkata-Journey Based-x1,Kolkata-Journey Based-x0,Mumbai-Journey Based-x4,Mumbai-Journey Based-x3,Mumbai-Journey Based-x2,Mumbai-Journey Based-x1,Mumbai-Journey Based-x0,New Delhi-Journey Based-x4,New Delhi-Journey Based-x3,New Delhi-Journey Based-x2,New Delhi-Journey Based-x1,New Delhi-Journey Based-x0,India-Journey Based-x4,India-Journey Based-x3,India-Journey Based-x2,India-Journey Based-x1,India-Journey Based-x0,World-Journey Based-x4,World-Journey Based-x3,World-Journey Based-x2,World-Journey Based-x1,World-Journey Based-x0,Units-Journey Based-,Bangalore-weight-distance based-x4,Bangalore-weight-distance based-x3,Bangalore-weight-distance based-x2,Bangalore-weight-distance based-x1,Bangalore-weight-distance based-x0,Chennai-weight-distance based-x4,Chennai-weight-distance based-x3,Chennai-weight-distance based-x2,Chennai-weight-distance based-x1,Chennai-weight-distance based-x0,Kolkata-weight-distance based-x4,Kolkata-weight-distance based-x3,Kolkata-weight-distance based-x2,Kolkata-weight-distance based-x1,Kolkata-weight-distance based-x0,Mumbai-weight-distance based-x4,Mumbai-weight-distance based-x3,Mumbai-weight-distance based-x2,Mumbai-weight-distance based-x1,Mumbai-weight-distance based-x0,New Delhi-weight-distance based-x4,New Delhi-weight-distance based-x3,New Delhi-weight-distance based-x2,New Delhi-weight-distance based-x1,New Delhi-weight-distance based-x0,India-weight-distance based-x4,India-weight-distance based-x3,India-weight-distance based-x2,India-weight-distance based-x1,India-weight-distance based-x0,World-weight-distance based-x4,World-weight-distance based-x3,World-weight-distance based-x2,World-weight-distance based-x1,World-weight-distance based-x0,Units-weight-distance based-,Bangalore-volume-distance based-x4,Bangalore-volume-distance based-x3,Bangalore-volume-distance based-x2,Bangalore-volume-distance based-x1,Bangalore-volume-distance based-x0,Chennai-volume-distance based-x4,Chennai-volume-distance based-x3,Chennai-volume-distance based-x2,Chennai-volume-distance based-x1,Chennai-volume-distance based-x0,Kolkata-volume-distance based-x4,Kolkata-volume-distance based-x3,Kolkata-volume-distance based-x2,Kolkata-volume-distance based-x1,Kolkata-volume-distance based-x0,Mumbai-volume-distance based-x4,Mumbai-volume-distance based-x3,Mumbai-volume-distance based-x2,Mumbai-volume-distance based-x1,Mumbai-volume-distance based-x0,New Delhi-volume-distance based-x4,New Delhi-volume-distance based-x3,New Delhi-volume-distance based-x2,New Delhi-volume-distance based-x1,New Delhi-volume-distance based-x0,India-volume-distance based-x4,India-volume-distance based-x3,India-volume-distance based-x2,India-volume-distance based-x1,India-volume-distance based-x0,World-volume-distance based-x4,World-volume-distance based-x3,World-volume-distance based-x2,World-volume-distance based-x1,World-volume-distance based-x0,Units-volume-distance based-,Bangalore-piece based-x4,Bangalore-piece based-x3,Bangalore-piece based-x2,Bangalore-piece based-x1,Bangalore-piece based-x0,Chennai-piece based-x4,Chennai-piece based-x3,Chennai-piece based-x2,Chennai-piece based-x1,Chennai-piece based-x0,Kolkata-piece based-x4,Kolkata-piece based-x3,Kolkata-piece based-x2,Kolkata-piece based-x1,Kolkata-piece based-x0,Mumbai-piece based-x4,Mumbai-piece based-x3,Mumbai-piece based-x2,Mumbai-piece based-x1,Mumbai-piece based-x0,New Delhi-piece based-x4,New Delhi-piece based-x3,New Delhi-piece based-x2,New Delhi-piece based-x1,New Delhi-piece based-x0,India-piece based-x4,India-piece based-x3,India-piece based-x2,India-piece based-x1,India-piece based-x0,World-piece based-x4,World-piece based-x3,World-piece based-x2,World-piece based-x1,World-piece based-x0,Units-piece based-,,,,
Electricity - Purchased Electricity -  -  - Regional Grid -  -  - -  -  - Grid -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.99E-14,1.48E-09,-1.17E-05,0.248429968,44.20344767,-2.99E-14,5.92E-10,-4.44E-06,0.339950415,104.9054052,-7.40E-14,1.67E-09,-1.31E-05,0.234317667,42.4892867,-2.11E-13,5.09E-09,-4.35E-05,0.262147911,29.32308592,-1.27E-13,2.86E-09,-2.25E-05,0.287886414,50.7125681,-9.40E-14,2.32E-09,-1.89E-05,0.290261607,61.89077988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity T&D Losses - Purchased Electricity -  -  - Regional Grid -  -  - -  -  - Grid -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.67E-14,4.14E-10,-3.25E-06,0.069218418,12.31611773,-8.34E-15,1.65E-10,-1.24E-06,0.094718162,29.22910742,-2.06E-14,4.67E-10,-3.66E-06,0.0652864,11.83851226,-5.89E-14,1.42E-09,-1.21E-05,0.073040559,8.170099783,-3.53E-14,7.97E-10,-6.27E-06,0.08021191,14.12971141,-2.62E-14,6.47E-10,-5.27E-06,0.080873694,17.2442235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels - Liquefied Petroleum Gases - LPG Cylinder -  -  -  -  -Cooking - Domestic -  -  -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,,kg CO2e/kg fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg CO2e/liter fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105572543,,,,,,,kg CO2e/Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63152,,,,,,,kgCO2e/TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels - Liquefied Petroleum Gases - LPG Cylinder -  -  -  -  -Cooking - Commercial -  -  -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99,,,,,,,kg CO2e/kg fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg CO2e/liter fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04623601,,,,,,,kg CO2e/Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56152,,,,,,,kgCO2e/TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels - Natural Gas - PNG -  -  -  -  -Cooking - Domestic -  -  -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,kg CO2e/kg fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024,,,,,,,kg CO2e/liter fuel,,,,0.119955229,,,,,0.119955229,,,,,0.119955229,,,,,0.116132545,,,,,0.124038138,,,,,0.119955229,,,,,,,kg CO2e/Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64568,,,,,,,kgCO2e/TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels - Crude Oil -  -  -  -  -  - -  -  -  -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,,,,,,,kg CO2e/kg fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg CO2e/liter fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73549,,,,,,,kgCO2e/TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels - Orimulsion -  -  -  -  -  - -  -  -  -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,kg CO2e/kg fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg CO2e/liter fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77249,,,,,,,kgCO2e/TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels - Natural Gas Liquids -  -  -  -  -  - -  -  -  -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,,,,,,,kg CO2e/kg fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28189061,,,,,,,kg CO2e/liter fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64449,,,,,,,kgCO2e/TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fossil Fuels - Motor Gasoline -  -  -  -  -  - -  -  -  -  - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,,,,,,,kg CO2e/kg fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.303062973,,,,,,,kg CO2e/liter fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69549,,,,,,,kgCO2e/TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
